state1,state2,distance_km
Alabama,Alabama,0.0
Alabama,Alaska,5595.61
Alabama,Arizona,2306.93
Alabama,Arkansas,569.98
Alabama,California,3005.03
Alabama,Colorado,1821.16
Alabama,Connecticut,1587.09
Alabama,Delaware,1231.44
Alabama,District of Columbia,1116.33
Alabama,Florida,622.39
Alabama,Georgia,317.83
Alabama,Hawaii,6949.03
Alabama,Idaho,2722.2
Alabama,Illinois,833.29
Alabama,Indiana,791.02
Alabama,Iowa,1187.6
Alabama,Kansas,1221.95
Alabama,Kentucky,545.57
Alabama,Louisiana,524.18
Alabama,Maine,2057.77
Alabama,Maryland,1141.42
Alabama,Massachusetts,1689.77
Alabama,Michigan,1289.94
Alabama,Minnesota,1629.15
Alabama,Mississippi,266.08
Alabama,Missouri,801.71
Alabama,Montana,2496.22
Alabama,Nebraska,1504.08
Alabama,Nevada,2767.89
Alabama,New Hampshire,1796.4
Alabama,New Jersey,1362.69
Alabama,New Mexico,1796.33
Alabama,New York,1501.92
Alabama,North Carolina,751.75
Alabama,North Dakota,1994.83
Alabama,Ohio,907.74
Alabama,Oklahoma,1030.76
Alabama,Oregon,3169.69
Alabama,Pennsylvania,1205.48
Alabama,Rhode Island,1672.67
Alabama,South Carolina,566.34
Alabama,South Dakota,1738.47
Alabama,Tennessee,344.33
Alabama,Texas,1187.87
Alabama,Utah,2343.97
Alabama,Vermont,1755.75
Alabama,Virginia,896.56
Alabama,Washington,3257.63
Alabama,West Virginia,858.81
Alabama,Wisconsin,1343.13
Alabama,Wyoming,2137.79
Alaska,Alabama,5595.61
Alaska,Alaska,0.0
Alaska,Arizona,4305.44
Alaska,Arkansas,5124.12
Alaska,California,3701.34
Alaska,Colorado,4119.6
Alaska,Connecticut,5458.31
Alaska,Delaware,5566.56
Alaska,District of Columbia,5500.92
Alaska,Florida,6204.79
Alaska,Georgia,5773.51
Alaska,Hawaii,4872.42
Alaska,Idaho,3210.91
Alaska,Illinois,4804.04
Alaska,Indiana,4959.72
Alaska,Iowa,4410.58
Alaska,Kansas,4502.52
Alaska,Kentucky,5224.3
Alaska,Louisiana,5509.53
Alaska,Maine,5282.94
Alaska,Maryland,5498.41
Alaska,Massachusetts,5443.82
Alaska,Michigan,4602.96
Alaska,Minnesota,4000.87
Alaska,Mississippi,5462.18
Alaska,Missouri,4800.01
Alaska,Montana,3195.73
Alaska,Nebraska,4154.82
Alaska,Nevada,3602.49
Alaska,New Hampshire,5325.78
Alaska,New Jersey,5496.18
Alaska,New Mexico,4533.06
Alaska,New York,5204.11
Alaska,North Carolina,5697.01
Alaska,North Dakota,3600.78
Alaska,Ohio,5094.16
Alaska,Oklahoma,4817.16
Alaska,Oregon,2996.37
Alaska,Pennsylvania,5282.75
Alaska,Rhode Island,5508.95
Alaska,South Carolina,5777.26
Alaska,South Dakota,3873.27
Alaska,Tennessee,5329.05
Alaska,Texas,5125.22
Alaska,Utah,3815.52
Alaska,Vermont,5239.74
Alaska,Virginia,5539.96
Alaska,Washington,2677.81
Alaska,West Virginia,5350.49
Alaska,Wisconsin,4355.14
Alaska,Wyoming,3655.99
Arizona,Alabama,2306.93
Arizona,Alaska,4305.44
Arizona,Arizona,0.0
Arizona,Arkansas,1761.81
Arizona,California,776.44
Arizona,Colorado,756.94
Arizona,Connecticut,3486.43
Arizona,Delaware,3254.0
Arizona,District of Columbia,3123.47
Arizona,Florida,2835.64
Arizona,Georgia,2621.19
Arizona,Hawaii,4647.75
Arizona,Idaho,1147.11
Arizona,Illinois,2088.85
Arizona,Indiana,2332.18
Arizona,Iowa,1806.55
Arizona,Kansas,1278.67
Arizona,Kentucky,2398.7
Arizona,Louisiana,1875.19
Arizona,Maine,3784.83
Arizona,Maryland,3142.48
Arizona,Massachusetts,3563.63
Arizona,Michigan,2509.94
Arizona,Minnesota,1980.83
Arizona,Mississippi,2046.58
Arizona,Missouri,1779.24
Arizona,Montana,1429.18
Arizona,Nebraska,1316.51
Arizona,Nevada,714.87
Arizona,New Hampshire,3587.81
